title,year,genre,rate,budget,revenue
The American Society of Magical Negroes,2024-03-15,Comedy|Fantasy,4.286,0,0
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
The Tearsmith,2024-04-03,Drama|Romance,6.8,7000000,0
One Piece Film Red,2022-08-06,Action|Adventure|Animation|Fantasy|Music,7.3,0,150797338
All of Us Strangers,2023-12-22,Drama|Fantasy|Romance,7.5,0,14864960
Beetlejuice,1988-03-30,Comedy|Fantasy,7.381,15000000,74800000
Irish Wish,2024-03-14,Comedy|Fantasy|Romance,6.3,0,0
Lost,2004-10-05,Action|Thriller,5.4,0,0
Descendants: The Rise of Red,2024-07-12,Adventure|Comedy|Family|Fantasy,0.0,0,0
The Crow,1994-05-11,Action|Fantasy|Thriller,7.5,23000000,93700000
The Witcher: Nightmare of the Wolf,2021-08-23,Action|Animation|Fantasy,7.5,0,0
Shogun,1981-06-17,Adventure|Drama|History,6.3,0,0
Oppenheimer,2023-07-19,Drama|History,8.112,100000000,952000000
The Ten Commandments,1956-10-05,Drama|History,7.8,13000000,122700000
Unfrosted,2024-05-02,Comedy|History,0.0,0,0
Vikings: Battle of Heirs,2023-04-28,Action,6.5,0,0
Manhunt,2020-01-14,Action|Thriller,0.0,0,0
The Zone of Interest,2023-12-15,Drama|History|War,7.257,15000000,37742591
Mary and Max,2009-02-09,Animation|Comedy|Drama,7.8,8240000,1740429
The New Look,1990-01-01,,0.0,0,0
Band of Brothers,2019-08-23,Drama,5.0,0,0
The Chosen,1981-08-20,Drama,7.1,0,0
Killers of the Flower Moon,2023-10-18,Crime|Drama|History,7.498,200000000,156922344
The Crown,2020-08-20,Documentary,8.0,0,0
Shogun,1981-06-17,Adventure|Drama|History,6.3,0,0
Sympathy for Mr. Vengeance,2002-03-29,Action|Drama|Thriller,7.5,4000000,1954937
Wicked Little Letters,2024-02-23,Comedy|Drama,7.1,0,0
One Life,2023-09-09,Drama|History|War,7.7,0,20250568
Warrior,2011-09-09,Action|Drama,7.8,25000000,23300000
The Last Kingdom: Seven Kings Must Die,2023-04-14,Action|Adventure|War,7.3,0,0
The Greatest Story Ever Told,1965-04-09,Drama|History,6.4,20000000,15500000
Ferrari,2023-12-14,Drama|History,6.5,95000000,39220516
Chernobyl,2005-01-01,Documentary,7.0,0,0
Abigail,2024-04-18,Comedy|Horror|Thriller,4.5,0,0
The First Omen,2024-04-03,Horror,6.795,30000000,19895572
Late Night with the Devil,2024-03-19,Horror,7.5,0,3111179
The Walking Dead,1995-02-24,Drama|War,6.3,0,6014541
Immaculate,2024-03-20,Horror|Mystery|Thriller,6.3,9000000,20571733
Behind the Fright: The Making of American Horror Story,2012-09-25,Documentary,9.2,0,0
From...,2020-10-22,,7.5,0,0
Stranger Things,2013-04-05,Drama,8.6,0,0
Interview with the Vampire,1994-11-11,Drama|Fantasy|Horror,7.386,60000000,223664608
Glass,2019-01-16,Drama|Science Fiction|Thriller,6.7,20000000,247000000
Supernatural,1933-04-21,Horror|Mystery|Thriller,6.0,0,0
Beetlejuice,1988-03-30,Comedy|Fantasy,7.381,15000000,74800000
Cuckoo,2024-07-18,Horror|Mystery|Thriller,0.0,0,0
Winnie-the-Pooh: Blood and Honey 2,2024-03-26,Horror|Mystery|Thriller,6.9,415000,533000
Attack on Titan,2015-08-01,Action|Horror|Science Fiction,6.064,0,0
Godzilla Minus One,2023-11-03,Action|Horror|Science Fiction,7.8,13000000,105100000
Imaginary,2024-03-06,Horror|Mystery|Thriller,6.3,13000000,38000000
Lisa Frankenstein,2024-02-07,Comedy|Horror|Romance,6.239,13400000,9383228
Split,2017-01-19,Horror|Thriller,7.3,9000000,278454358
Making of The Last of Us,2023-03-12,Documentary,6.6,0,0
Alien: Romulus,2024-08-14,Horror|Science Fiction|Thriller,0.0,0,0
Dream Scenario,2023-11-10,Comedy|Fantasy,6.8,10000000,14114415
The Crow,1994-05-11,Action|Fantasy|Thriller,7.5,23000000,93700000
Shaitaan,1974-02-19,,0.0,0,0
X,2022-03-17,Horror|Mystery|Thriller,6.728,1000000,14740889
The Vampire Sex Diaries,2011-12-01,Horror,2.0,0,0
The Walking Dead: Daryl Dixon,2023-09-10,,0.0,0,0
Baby Driver,2017-06-28,Action|Crime,7.449,34000000,226945087
Descendants: The Rise of Red,2024-07-12,Adventure|Comedy|Family|Fantasy,0.0,0,0
Back to Black,2024-04-11,Drama|Music,6.8,0,0
Bob Marley: One Love,2024-02-14,Drama|History|Music,7.038,70000000,176527503
Priscilla,2023-10-27,Drama|Music|Romance,7.0,20000000,30140906
La La Land,2016-11-29,Comedy|Drama|Music|Romance,7.9,30000000,447407695
Green Book,2018-11-16,Drama|History,8.2,23000000,319700000
Whiplash,2014-10-10,Drama|Music,8.383,3300000,13092000
He's All That,2021-08-27,Comedy|Romance,6.6,0,0
Robot Dreams,2023-10-20,Animation|Comedy|Drama|Family,7.8,6000000,1693008
Saturday Night Live: Thanksgiving,2013-11-27,Comedy,7.5,0,0
A Star Is Born,2018-10-03,Drama|Music|Romance,7.5,36000000,433888866
Elvis,2022-06-22,Drama|Music,7.5,85000000,288670284
Dirty Dancing,1987-08-21,Drama|Music|Romance,7.342,6000000,214577242
Glee,2022-12-31,,0.0,0,0
Maestro,2023-11-22,Drama|Music|Romance,6.418,80000000,300000
This Is Me…Now,2024-02-15,Drama|Music,5.4,0,0
Atlanta,1996-01-01,Comedy|Drama,4.3,0,0
Pitch Perfect,2012-09-28,Comedy|Music|Romance,7.3,17000000,115647426
Amadeus,1984-09-19,Drama|History|Music,8.0,18000000,90000000
Almost Famous,2000-09-15,Drama|Music,7.5,60000000,47386287
The Pianist,2002-09-17,Drama|War,8.4,35000000,192700000
Yesterday,2019-06-26,Comedy|Fantasy|Music|Romance,6.7,26000000,154600000
Bohemian Rhapsody,2018-10-24,Drama|Music,7.989,52000000,918355943
Victorious,2020-11-03,Documentary,0.0,0,0
A Complete Unknown,,Drama|Music,0.0,0,0
Michael,1996-12-25,Comedy|Drama|Fantasy,5.7,20000000,119700000
CODA,2021-08-13,Drama|Music|Romance,7.9,10000000,1600000
Footloose,1984-02-17,Drama|Romance,6.7,8200000,80035402
9 Songs,2004-07-16,Drama|Music|Romance,5.6,1000000,1574623
Purple Hearts,2022-07-29,Drama|Romance,8.1,0,0
TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,Music,8.381,15000000,261656269
Coco,2017-10-27,Adventure|Animation|Family|Music,8.212,175000000,800500000
"O Brother, Where Art Thou?",2000-08-30,Adventure|Comedy|Crime,7.3,26000000,71900000
The Wedding Singer,1998-02-13,Comedy|Romance,6.8,18000000,123306987
The Blues Brothers,1980-06-16,Action|Comedy|Crime|Music,7.74,27000000,115200000
Soul,2020-12-25,Animation|Comedy|Family|Fantasy,8.1,150000000,121500000
This Is Spinal Tap,1984-03-02,Comedy|Music,7.438,2500000,4700000
Wish,2023-11-13,Adventure|Animation|Family|Fantasy,6.53,175000000,251720820
Wonka,2023-12-06,Comedy|Family|Fantasy,7.2,125000000,632302312
Joker: Folie à Deux,2024-10-02,Crime|Drama|Thriller,0.0,200000000,0
Mean Girls,2024-01-10,Comedy,6.1,36000000,103532527
